Ang_dev,BX,BY,BZ,ChisQ_DOF_nonlin,EW_flowangle,NS_flowangle,Proton_Np_moment,Proton_Np_nonlin,Proton_VX_moment,Proton_VX_nonlin,Proton_VY_moment,Proton_VY_nonlin,Proton_VZ_moment,Proton_VZ_nonlin,Proton_V_moment,Proton_V_nonlin,Proton_W_moment,Proton_W_nonlin,Proton_Wpar_moment,Proton_Wpar_nonlin,Proton_Wperp_moment,Proton_Wperp_nonlin,Proton_sigmaNp_nonlin,Proton_sigmaVX_nonlin,Proton_sigmaVY_nonlin,Proton_sigmaVZ_nonlin,Proton_sigmaV_nonlin,Proton_sigmaW_nonlin,Proton_sigmaWpar_nonlin,Proton_sigmaWperp_nonlin,dev,xgse,ygse,ygsm,zgse,zgsm,target
2.169071674,9.235721588,8.657184601,-15.79041862,0.706044137,30.57121277,-1.259890079,4.158983707,3.569405556,-324.7737427,-318.8121643,-116.6769485,-188.3288422,-7.225726604,-8.14353466,345.1719971,370.3717957,91.73400116,90.60818481,114.7916794,57.44154358,89.44731903,103.2714844,0.037777737,80.19526672,90.00126648,4.475525379,82.82331085,25.83710098,36.1477356,32.48332214,0.385407537,-3.944464922,-22.1300354,-19.01310921,0.144922569,11.32665348,1
3.912464619,10.65280914,8.686763763,-15.31327915,0.850809753,27.46075249,-2.746740341,4.247087002,3.610328913,-325.6398926,-325.9923706,-117.1029587,-169.41716,-14.76894855,-17.62591362,346.3705444,367.8095703,93.15427399,97.90422821,113.0200806,63.94563293,93.24820709,111.0555496,0.082842395,130.4972382,110.5883636,11.25073528,126.3819046,43.53061676,44.24175644,56.13663483,0.449804813,-3.928601027,-22.15797806,-19.02525711,0.146976426,11.36088276,1
2.246114731,12.21119404,10.39026546,-13.46442795,0.881198585,29.0096035,-1.754531026,4.286651611,3.642029285,-329.4650574,-332.1352539,-125.8998718,-184.1783447,-13.11683941,-11.63349628,352.9448242,379.9616394,92.17578888,92.54658508,105.5300827,63.78028488,95.86628723,103.9872284,0.061100796,109.0531769,105.7457962,6.247183323,108.2338257,34.78499985,29.84552193,45.52599335,0.572842896,-3.912732363,-22.18588448,-19.03740883,0.149030045,11.39498138,1
3.328843355,11.10076332,9.229844093,-15.45915794,0.806530058,28.55745316,-3.266504288,3.892526627,3.545627117,-329.3984985,-330.8463745,-126.9672394,-180.0647125,-11.85226059,-21.49790192,353.2202148,377.2860718,90.65053558,93.87896729,106.1322174,63.72080994,91.52536774,105.7814713,0.071299583,115.8805161,108.314682,12.6774292,114.0125046,36.23945999,38.67602158,46.81519699,0.61520505,-3.896858454,-22.21375656,-19.04956818,0.151083454,11.4289484,1
2.734591246,10.27122879,8.533171654,-16.52622986,0.612280548,29.9589901,-1.17262578,4.348118782,3.966745377,-326.1763611,-329.4197693,-126.0169525,-189.8763275,-5.183517933,-7.782822609,349.7115479,380.3038025,94.35534668,101.5819626,116.6767426,58.9344902,94.81877136,117.225029,0.021743799,41.80783463,46.66250992,2.985012054,43.06076431,16.65382957,22.88857841,20.86857414,0.60479331,-3.880979776,-22.24159431,-19.06173325,0.153136611,11.46278095,1
2.458696842,11.37317181,9.690108299,-15.11790085,0.105789937,31.34314156,-0.625650465,4.18097496,4.444685459,-323.7070313,-318.3059998,-127.0906982,-193.861496,-0.370613366,-4.069856167,347.7620239,372.7164612,86.26875305,100.3546982,99.89733124,68.02889252,88.76982117,113.1045227,0.127846211,93.55657196,92.6624527,2.203797102,93.30994415,38.67150879,35.76042557,50.33221817,0.544417441,-3.849207878,-22.29716682,-19.08609962,0.157242209,11.53003311,1
1.548260093,11.58135223,9.563655853,-16.55645943,1.241464257,30.96455002,1.534948826,4.241971493,3.759580612,-323.1450195,-316.1046143,-119.6162415,-189.6687317,2.409717798,9.878228188,344.5816956,368.7735291,90.0559845,96.44378662,109.5590363,60.85179901,93.32318115,110.0028915,0.082184948,121.1674347,106.7777481,6.231570244,117.4877625,42.07825089,39.94460678,54.22329712,0.440532774,-3.833314657,-22.32490158,-19.09830284,0.159294635,11.56344891,1
2.5867939,9.726887703,8.569069862,-15.32093525,0.587744653,30.9933567,-0.787875056,4.592998028,5.180749416,-323.3119812,-316.0873413,-127.8110886,-189.8745575,-2.676426649,-5.070763588,347.6686401,368.7672424,84.68544006,101.3345108,106.9704361,78.80604553,87.59183502,110.8955765,0.154755726,77.12982941,76.37290955,2.483372927,76.92258453,33.47214508,41.28243637,43.47138977,1.449004173,-3.817416906,-22.35260201,-19.11052513,0.161346838,11.59672165,1
2.62882638,11.09207821,9.301200867,-15.26709366,1.292180419,27.83528709,-0.986151159,5.531817913,4.47439146,-333.3440552,-340.1275024,-138.7250671,-179.5966797,-1.153169036,-6.620778084,361.0598755,384.6888428,96.90162659,93.09593201,115.2874756,64.55025482,100.0937424,104.484024,0.081998743,94.99324036,90.99562073,3.366844177,94.1222229,31.32134438,35.6930809,40.3832016,0.863924146,-3.801514149,-22.38027,-19.12276649,0.163398802,11.62984943,1
2.569331408,10.64454174,9.801355362,-15.54057026,0.863774061,27.25396729,-1.727154136,5.282862186,4.558932781,-335.5589294,-340.7117004,-118.6290359,-175.5079041,-10.78259945,-11.55666256,356.0743103,383.4332275,98.20625305,99.46278381,111.0622559,71.56922913,101.4006805,110.8069992,0.052660402,72.88075256,74.77536011,5.735611916,73.24903107,26.07139015,33.95936584,33.34623337,0.749703586,-3.7856071,-22.40790176,-19.13503075,0.165450513,11.66283035,1
